Code,Temperature,Humidity,Radiation,Longitude,Latitude,Cs_134_(Bq/m3),Cs_137_(Bq/m3),I_131_(Bq/m3)
17,20.17815555,36.86972529,3.189276011,40.08068234,25.7200057,6.230575174,5.059673057,33.85069545
12,29.93726932,50.19809305,3.557412155,4.962021192,15.87841529,7.627805635,8.450257895,39.49420651
11,18.35378513,47.19942055,5.271697907,10.36987005,53.4477103,4.559598579,6.509791628,48.27073151
14,23.88574554,63.50219077,3.322750015,24.24152545,27.95483826,4.100645822,4.642339081,15.08597233
13,15.75050482,45.36819262,4.517374648,37.13959969,16.60750923,4.063921468,0.710149544,25.53716967
18,16.56843221,40.05808102,2.875293937,3.461162402,49.24674638,3.942606627,7.642285506,47.81171023
15,33.42219766,53.46446497,2.24049904,32.25150409,55.45285633,9.449755321,11.28219763,49.97632471
11,17.08388674,42.86415117,2.708042849,-1.609188156,28.85804641,9.12101556,6.21020041,14.21098427
15,13.16663271,60.25768954,3.303464374,28.63804221,53.1306864,3.88396802,10.50931036,62.03368986
15,20.69595019,40.36974854,4.856051204,7.267922386,23.17676078,6.588452957,8.972094746,20.57253015
14,32.91933604,56.59221189,2.601166444,45.94452308,25.12851128,6.859778254,4.98543149,7.865503981
16,14.11295739,41.04794431,2.020721262,25.67162648,19.86180482,5.865518206,6.416296129,55.61195523
7,19.32057229,53.72966009,3.762891814,36.79088043,44.33759387,8.125115653,3.435760361,57.85114207
13,12.81997301,62.62030353,1.998387438,37.4665808,57.48787312,10.07762813,7.239299759,4.373968709
18,19.6282156,67.44236444,8.788511247,33.39114619,24.37506768,2.242377574,1.381703714,41.62164427
8,14.42152597,45.26339699,5.971226319,14.66897382,6.326494083,4.068586903,3.214429735,32.64435199
5,20.37423564,70.28318006,6.345306098,24.28243194,48.85661208,7.259335681,5.442623453,35.99713509
17,32.88263714,42.95258193,3.666147161,44.30251747,24.29882011,5.864245717,1.767857125,21.42682725
7,34.84988855,60.15897952,7.219708829,14.50955912,31.97783092,6.311797818,7.618666319,56.30644971
12,34.60364439,74.04558574,5.654952807,23.65838519,28.04396471,6.819487432,8.720854372,64.30081305
11,20.79773833,63.96015241,4.302752526,11.08728344,10.14538809,3.069110951,7.115171968,21.0453768
13,23.31250259,58.37734182,4.296505159,27.56687994,42.93442751,9.873112286,6.641428815,26.79172382
11,11.6969224,47.87217396,5.32994539,30.59305391,29.14429157,11.4000701,3.69578801,22.65701551
12,17.3990017,63.07569637,0.828509989,1.661475989,37.59106782,8.266792703,4.70993907,12.64800925
10,14.42477515,70.54214554,4.09867659,18.1997585,33.08490049,6.924651995,6.065719408,38.24152623
17,6.958155428,60.28591245,6.58941106,27.02974059,8.354252908,9.724890921,2.223610226,58.70568088
11,33.37223667,58.6705982,1.647423367,16.22537781,41.52722385,7.608806914,8.181638209,26.34106116
19,19.752799,38.70680561,7.826923361,41.40425833,47.36062388,10.49273885,7.534278817,18.35254325
4,23.75902341,52.3907514,1.73532043,13.79729675,17.68417782,3.123760686,7.337707164,48.42500062
18,12.03712751,60.54776851,1.379027865,6.206203943,37.75388902,2.41802312,5.74728393,17.98060791
5,36.24314216,44.21685683,6.860163421,5.34799437,39.26802466,5.270301649,2.175474554,42.00723716
10,20.79165303,66.88297836,6.408261065,27.98971955,22.00892057,9.684385828,4.826615439,49.64683401
23,5.814547221,45.2783063,2.989928268,3.822878762,21.68855317,6.845726839,9.940263379,5.874249743
8,30.61600575,50.65109385,3.872391295,41.84813882,47.22899542,12.26925554,11.25378842,57.96632234
17,34.63716355,53.30243594,1.494570399,6.812795673,49.81151289,6.260766453,5.845029184,42.33265046
7,25.22180391,60.61540212,5.925801743,8.730003137,36.60016168,5.274680578,5.678558552,49.64969034
19,15.87888024,47.32978161,4.538758409,20.66974679,51.81657524,4.071474141,8.581978999,52.53528631
17,34.55002589,53.05395066,2.99417199,4.696960044,9.422665876,9.420737507,1.02396994,57.09452582
7,8.658368955,44.14072091,7.534682385,30.00213706,37.32736396,6.711741448,4.443618226,32.37475423
8,3.823281377,37.82590084,5.073630894,22.43165625,27.20006875,10.52062318,8.357411946,43.80287707
14,8.044495075,55.01061008,3.244812168,5.370881853,42.02256397,4.291733952,2.168319474,54.61986282
18,20.15798929,53.87378957,4.987851258,38.69891363,46.44371805,11.06561354,7.491664324,63.33024104
9,7.922438776,72.81062621,6.741698344,12.07533246,34.54043937,9.829745137,3.563659272,40.60237051
20,20.28733338,35.27694155,6.096124185,38.14969406,44.0006002,5.823575863,4.92471372,11.56618033
21,30.04080543,43.26275872,6.630295181,15.0568196,28.09279143,4.72284081,1.53469247,24.94637734
17,23.28161334,67.33344864,1.517120625,26.19102388,42.94387328,2.051541248,9.846707617,30.11735676
11,13.62745523,46.79457777,8.101487013,11.18886794,41.05737634,10.10312373,10.31053711,31.30402432
12,24.18205218,51.28879348,2.941663217,22.73054603,26.63352302,6.904478679,5.638201426,28.98999907
7,19.69575774,45.61815525,8.222069958,11.38378018,46.54247095,12.76697469,3.332796163,29.69200451
16,18.85236135,53.03091219,3.835106425,35.33269292,40.2250255,6.277944622,6.826376665,24.83143827
23,10.58105895,41.64416395,1.136406819,8.911829066,51.05729869,4.705349363,6.238572352,32.56765303
7,24.58462879,57.38938761,4.285173115,10.42657975,42.51120706,3.164536147,8.693279586,32.75790995
10,18.96544735,55.7160553,3.42158356,29.90301849,29.2867978,11.47065185,2.896613402,42.26034757
18,37.45955477,75.93254926,2.185957686,29.54851718,9.512595298,6.813095634,1.515483649,6.989431091
12,17.62464118,49.56996848,5.127225326,35.97484987,39.84924691,5.479151646,4.490307769,36.26153199
10,6.669796628,70.86265203,6.76148657,1.439846915,23.46907374,5.206096937,6.808726619,23.77252924
6,21.62007761,40.85564734,3.799273864,39.09072267,21.20318372,8.320626595,1.113224002,27.36281805
13,30.32532121,44.54596517,2.772537155,30.04893288,24.94728584,11.75960939,9.963756285,25.28831911
7,26.27279144,51.70023998,5.597314243,15.20636032,48.61144967,7.706932012,4.362236957,43.40131738
19,4.420046104,66.75038011,2.52544564,8.802230888,29.89476166,12.7639021,4.724895425,54.55199028
21,29.13416599,49.71456416,4.604051089,42.08418282,24.88634056,7.267426926,3.025816255,31.30371737
14,10.89676186,50.26906328,4.328076147,6.085922584,36.0969881,3.44967055,5.149637327,35.9567175
11,5.338573825,46.62610572,7.392978105,39.26815035,34.38248807,3.067791794,6.882659445,29.88838177
19,18.38263161,65.37108111,8.335062188,12.24282243,18.53658047,4.904844467,7.396908219,30.9801384
7,24.16325218,51.39248441,4.102397037,9.117038817,30.13679239,3.303699436,4.090861047,5.791624211
9,13.81271342,70.28208855,5.223710224,14.77358471,51.43966068,9.363158182,5.331198489,31.74836474
6,18.26399664,52.80290311,7.795009168,43.02011951,16.81754214,6.070804602,7.717073849,21.69440132
5,11.37158295,69.84604432,6.646625336,33.08530258,14.63972505,4.231408631,9.426254438,47.58730765
22,27.68245886,67.8350319,1.801522222,32.99019218,48.23669075,3.532809396,9.608877693,30.86466217
13,31.68172395,58.6650464,6.697008255,19.33737131,36.44194254,7.792195722,7.002431086,17.8108761
5,25.9793594,48.1833801,3.247885676,2.361291877,43.75226787,9.62202295,3.970411147,23.18327751
17,25.66481018,55.67082963,8.181652899,13.95029651,28.23546993,2.890227516,8.500814542,48.38862947
15,25.90801383,61.43525123,7.591282958,21.53199845,14.51976663,2.753352856,5.98526108,36.03612527
18,12.36590957,46.26033408,4.72773139,15.14135854,29.08899749,7.261086016,7.773315636,50.80886023
13,6.268071121,63.37286303,1.378786433,42.01221329,28.90515209,5.311298505,2.758615522,34.55456347
10,7.781386786,45.23832152,9.082517377,30.55642081,42.94617164,6.225159275,7.536692424,44.24451574
20,8.911543242,74.2869559,3.491452239,15.20921115,33.77040425,5.624808929,5.649341991,54.55358163
16,8.293710807,70.53848687,5.168683994,34.75751463,27.21679385,9.989613145,1.600190251,37.57538915
19,28.16647314,53.63019944,4.383111128,32.10708312,51.93264874,5.380641979,1.933733919,27.70404127
16,19.55920369,56.35219977,6.575259293,16.45848962,41.32306058,5.991281774,6.208048716,39.58808869
12,24.97748528,41.13136524,4.696152977,19.31090863,50.83888183,6.70835687,2.030886845,48.92581896
8,33.33479126,42.25318861,2.3202058,21.28383942,41.63961374,10.23523767,5.93307164,30.03249437
14,13.84777946,55.14179721,6.83654534,8.287883684,46.99524119,12.30618168,2.089424196,46.94670293
18,7.019317964,61.72468445,2.028736103,4.696847136,16.33465067,2.869812231,9.545133878,34.42939256
19,5.097378324,74.7921988,7.78481258,22.59639647,16.6293449,3.731580901,3.188964616,51.59294307
17,28.23919566,50.69458794,6.679930154,21.06135722,42.97569246,7.233086344,9.100035183,59.0101015
13,10.71066473,51.64670646,2.458176038,2.502954526,58.77707375,7.143238802,2.779079095,41.52719103
10,3.229391826,68.76637634,6.894567243,22.18965505,50.61320795,11.18358994,7.210489437,12.75664973
15,22.03568357,56.69385201,1.698257275,32.8484685,50.00999299,5.457947313,7.896038981,12.26044899
12,5.227278606,42.76397041,8.826412797,32.21717575,10.14769866,12.47305707,5.035780851,57.27908884
13,13.07650498,56.82094824,1.79754768,34.45011048,20.29391277,6.92006655,4.536206061,51.85710708
16,25.14363589,53.493112,6.66625346,29.25415245,13.45535992,10.00345084,6.181901416,36.03894949
5,25.78251365,75.55800286,7.360015126,29.79373784,50.69018001,5.584734567,5.534546332,47.7083583
11,17.70690868,51.62129767,6.67582916,29.02707536,36.50888463,2.744270486,6.532289091,48.60486175
13,33.5330748,35.14590947,6.768661638,23.53087822,4.20416512,6.220886573,5.945904758,53.38430857
6,9.759365103,41.03437759,3.025867137,11.81431743,58.46342933,5.477620159,8.539014733,36.54487953
4,29.47691851,45.51644996,6.163505127,24.08317823,46.20941186,5.868253035,6.43418961,18.62673207
18,19.85451462,61.30794344,6.017119158,16.67646562,51.43502624,9.952410422,3.650757956,41.41766993
8,23.92245736,59.1278973,8.1427095,-1.545825788,52.3916673,6.021793974,9.92100569,11.39568365
19,18.66088606,55.750303,2.350590952,4.268148591,5.02734956,1.997598119,6.227694882,30.66082843
9,8.644427494,69.77601595,3.793669216,16.74255228,33.71762802,5.935699451,4.352415217,20.06008591
15,10.01640678,50.95132592,6.511606335,11.14927344,22.58754326,9.683617168,4.238691947,43.75863957
14,4.99649441,37.93450284,4.971079572,34.87445657,19.15205924,6.036928929,4.296574707,16.79873407
15,16.9014355,54.62901173,2.591362925,33.21467839,14.79815542,10.26302484,7.260097421,51.10784064
15,19.09134504,61.15136286,8.564950391,17.69224748,51.4893773,8.088982952,10.47122925,25.84298491
15,11.63287392,61.71928456,6.30622671,24.68362111,15.13985153,4.742952735,7.021622369,12.54380576
18,22.08937391,51.08479406,8.643080322,40.83129318,28.89164309,8.436604862,6.514824774,55.97751478
3,17.19235936,67.24928381,7.881781006,22.23809242,11.42308766,3.954516783,2.771001769,21.30293483
8,28.44095308,65.14970478,3.025848413,25.60619981,40.13361895,6.933849616,2.624161161,50.41524791
17,32.08612531,57.89097443,6.500105115,4.965088601,51.76030009,12.11641663,6.606470696,64.95892771
19,18.90731483,55.58739474,9.113278935,28.55251031,39.33381894,8.491654892,4.602719701,26.0635846
16,24.78395974,65.47796466,5.209373259,23.91207476,33.41344997,3.588843558,3.09950275,47.51024561
14,13.88429279,56.21764965,4.082368837,18.63004047,36.42351599,1.917351429,7.176521836,31.171045
11,12.68103706,48.30490664,8.382406491,8.820379057,17.31084434,11.91561274,7.434189115,41.69236325
8,12.16883148,70.61542629,2.728242455,14.31499065,49.24353304,10.0999915,5.173136718,47.40789993
12,6.729641211,73.64665927,2.515437436,18.46827987,31.2748153,4.656373794,5.854589903,11.76453924
4,21.98349053,49.45877046,4.634366503,27.17828616,39.59229843,11.3230173,3.04376447,44.89082456
18,5.186032829,57.68882042,2.856654073,16.35627017,8.606758073,3.390102413,5.387552067,26.77992897
8,10.33740209,56.5457416,6.416399866,7.076923158,43.97998827,4.28580061,3.328719638,34.57183487
17,8.566331985,56.29209138,7.440194841,12.8609121,39.59786395,6.281514157,8.990330815,43.9695564
6,20.37713432,57.23517017,1.727477885,18.34400439,23.60567823,2.042425319,9.535144298,24.99925089
14,18.24867387,42.15124639,3.473561929,42.24108405,44.67788604,4.185091257,10.79702204,4.128758957
5,27.71168396,72.07603377,8.977374902,26.37372696,8.775102791,6.760505869,2.798671506,42.65538189
8,18.53020233,59.35318776,6.612956072,10.28164374,35.02642245,8.044301051,8.331027751,39.2692664
14,14.32087594,45.9798312,8.617887161,21.34906914,54.77712114,4.230798291,4.621610653,21.38266238
8,34.96201866,61.5174393,5.569376215,27.78753993,20.8137135,7.319940338,4.444044169,15.74652077
18,32.17049533,53.86347424,4.484372556,22.11518542,22.29407259,8.509272403,8.044154462,37.54856652
19,31.65534287,55.49394676,4.716324075,18.38572923,27.9709193,11.16751354,7.612741267,58.76882637
18,37.81877085,69.5995859,4.230873497,39.13060938,43.98244838,5.18897895,4.011500762,63.42433022
20,13.24414091,38.54664508,3.946515589,37.23134515,45.87725545,4.514786329,5.53130656,48.96854902
15,34.25034063,71.49978432,4.464792652,11.19423279,8.504148251,7.38019562,8.4664113,34.49848916
12,23.31962955,54.46280896,6.358077337,10.6953812,8.538342522,2.314149494,8.49945305,47.59866592
12,25.00245747,40.30941855,2.585231205,16.3446866,29.43434627,2.240051542,5.85282512,25.48453848
8,26.04310713,43.97937026,2.239944718,42.74199444,15.70726183,1.62877607,9.299661058,8.21856535
15,7.100105828,52.25828778,5.029849171,-3.806768512,25.08771878,11.7574806,9.901889296,53.57582606
15,25.26178186,73.52390936,7.886952239,41.45691097,34.71577702,3.944955393,10.28181169,26.05598272
11,20.41775324,72.39734554,3.628949489,23.01443502,24.32866274,4.941732019,3.512665788,40.27916209
7,31.13743027,41.73026668,7.211192574,18.048453,49.74069371,4.08362723,4.065255384,45.63604109
18,16.24458615,53.23181876,5.270280622,36.71730952,54.38979846,6.568229836,6.832888844,26.23376789
4,11.17171265,60.61807504,8.275708671,46.51612528,11.38682294,1.31385339,3.817012398,18.16099661
18,19.15198391,69.31252735,6.629614288,6.648808797,10.55647172,9.254899587,4.574362282,43.08656904
16,31.37247255,37.46788759,7.441501508,14.53367002,43.10061902,8.089557993,4.241442603,41.93097224
16,30.55985567,41.50484628,2.105706799,22.94147934,23.0643278,7.47330893,7.700382511,63.35626536
16,22.43657005,53.60884362,6.405217957,10.36025132,56.87771227,8.328362192,5.948144823,20.42446521
18,17.07477466,62.17992765,3.998843856,8.384351897,39.06500915,4.892773796,7.988963199,37.79193917
21,27.08969777,58.09505048,7.565715135,27.62713315,35.28118435,5.662011415,3.921626045,26.51159616
20,25.26004807,71.29792714,5.529542401,5.516381403,13.40210514,3.111330709,9.178891414,11.9581837
8,21.36958809,57.48246172,6.636518901,0.174740097,33.00406069,5.544220314,5.789005229,33.67042304
4,31.50454616,70.42545745,4.934364179,28.86554122,58.51104387,7.246507198,2.883380456,54.501608
15,26.06805242,51.42553737,6.236592679,-1.703481341,54.38306158,11.86352373,7.659208738,12.28023062
4,25.01419206,53.08196925,6.534259211,35.73092585,31.59440429,2.712936064,8.18571819,42.69193393
12,10.61641707,54.55311102,3.422625778,27.97163429,6.247970832,1.874832739,6.366190993,48.71873036
10,30.29932711,44.73134187,6.123550519,11.74909092,20.48920523,3.306007646,4.861590307,10.7926085
11,34.70092902,38.07103331,8.893533129,35.81332123,36.97820792,8.093815924,5.682012173,59.36734678
5,33.98523343,56.63279487,6.20661949,42.69561376,49.92958326,6.155423678,2.504966878,55.41782053
11,32.16252077,71.72469875,6.355625344,10.13876226,40.19555007,3.691652682,8.628947735,10.80220973
11,12.11257325,55.96688322,5.06407913,0.888363706,16.91297867,4.190893013,2.681768109,56.38607366
9,19.52597258,56.85301012,4.663715793,19.86878763,19.9451456,4.897505517,7.009128471,41.69473477
18,33.46554148,71.78000395,8.050569857,27.68708249,46.4852456,7.593492877,9.605971755,38.00589358
